#star_name	spectral_type	m_M	m_M_err	app_mag_J	app_mag_J_err	app_mag_H	app_mag_H_err	app_mag_K	app_mag_K_err	app_mag_3.6	app_mag_3.6_err	app_mag_4.5	app_mag_4.5_err	app_mag_5.8	app_mag_5.8_err	app_mag_8.0	app_mag_8.0_err
DENIS-P_J170548.3-051645    	L0.5	1.8	0.7	13.31	3	12.55	2	12.03	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
epsilon_Ind_Ba              	T1.0	-2.205	0.002	12.29	2	11.51	2	11.35	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
epsilon_Ind_Bb              	T6.0	-2.205	0.002	13.23	3	13.2	3	13.48	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
ESO_207-61                  	M9.0	1.33	0.18	13.23	3	12.54	3	12.1	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
G_216-7B                    	M9.5	1.45	0.07	13.34	2	12.69	2	12.18	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
GD_165B                     	L4.0	2.49	0.17	15.69	8	14.78	7	14.17	10	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
GJ_1048B	L1.0	1.64	0.04	-99.9	-9.9	12.73	20	12.19	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
GJ_1245B                    	M6.0	-1.714	0.015	8.27	3	7.73	3	7.39	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
GJ_618.1B                   	L2.5	2.62	0.2	15.28	5	14.35	4	13.6	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
GJ_660.1B                   	-99.9	1.5	0.16	13.05	5	12.56	2	12.23	3	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
Gl_570D                     	T7.0	-1.168	0.012	15.32	5	15.27	9	15.24	16	13.8	5	12.12	3	12.77	11	11.97	7
Gl_584C                     	L8.0	1.26	0.03	16.06	10	14.93	8	14.35	7	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
Gl_802B                     	-99.9	0.99	0.04	14.75	27	14.13	9	13.61	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
GRH_2208-20                 	M7.5	3.04	0.04	14	3	13.5	3	13.15	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HB_2124-4228                	M7.5	2.7	0.5	13.32	2	12.66	3	12.19	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HD_1160B	-99.9	5.07	0.1	15.83	10	14.65	8	14.12	6	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HD_3651B                                         	T7.5	0.219	0.008	-9999	-9999	-9999	-9999	-9999	-9999	15.38	4	13.62	2	14.04	12	13.45	14
HD_46588B                   	L9.0	1.261	0.01	16.26	9	15.08	7	14.6	9	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HD_49197B                   	L4.0	3.26	0.06	15.92	12	14.62	12	14.29	11	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HD_89744B                   	L0.0	2.979	0.027	14.9	4	14.02	3	13.61	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HIP_38939B                  	T4.5	1.34	0.04	16.12	8	15.8	13	16.09	8	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
HN_Peg_B                    	T2.5	1.262	0.017	16.7	16	15.55	11	15.63	25	13.72	4	13.39	2	13.08	10	12.58	11
HR_7672B                    	L4.0	1.248	0.014	-99.9	-9.9	14.04	14	13.04	10	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
L_726-8A                    	M5.5	-2.87	0.023	6.86	2	6.3	3	5.91	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
L_726-8B                    	M6.0	-2.87	0.023	7.24	3	6.6	3	6.31	5	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
LHS_1070A                   	M6.0	-0.56	0.04	9.98	4	9.31	4	9.07	4	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
LHS_1604                    	M8.0	0.83	0.06	11.3	2	10.61	2	10.23	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
LHS_191                     	M6.5	1.17	0.07	11.62	2	11.07	2	10.69	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
LHS_197                     	M6.0	1.41	0.04	11.56	2	11.06	4	10.76	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
LHS_2021                    	M6.5	1.12	0.17	11.89	2	11.16	2	10.76	2	10.32	2	10.35	1	10.24	1	10.2	1
LHS_2026                    	M6.0	1.471	0.026	12.03	2	11.48	2	11.14	2	-9999	-9999	-9999	-9999	-9999	-9999	-9999	-9999
